,All,Crisis,Good
E[theta],1.406,,1.406
E[thetah],0.777,,0.777
E[iota],0.043,,0.043
E[r],-0.005,,-0.005
E[rp],0.068,,0.068
E[rph],0.051,,0.051
E[Q],1.427,,1.427
E[sigka],0.059,,0.059
E[mrp],1.154,,1.154
E[mrph],0.868,,0.868
E[pd],21.219,,21.219
E[mure],0.063,,0.063
E[outputG],0.014,,0.014
E[retQ],0.0,,0.0
Std[theta],0.0673,,0.0673
Std[thetah],0.0198,,0.0198
Std[iota],0.0003,,0.0003
Std[r],0.0019,,0.0019
Std[rp],0.0015,,0.0015
Std[rph],0.0006,,0.0006
Std[Q],0.0032,,0.0032
Std[sigka],0.0001,,0.0001
Std[mrp],0.0281,,0.0281
Std[mrph],0.0078,,0.0078
Std[pd],0.1498,,0.1498
Std[mure],0.0004,,0.0004
Std[outputG],0.0491,,0.0491
Std[retQ],0.0009,,0.0009
"Corr(theta,shock)",-0.2636,,-0.2636
"Corr(theta,Q)",0.9977,,0.9977
"Corr(theta,mrp)",0.9995,,0.9995
"Corr(shock,mrp)",-0.2652,,-0.2652
"Corr(Q,r)",-0.9995,,-0.9995
"Corr(retQ,r)",-0.2016,,-0.2016
"Corr(rp,sigka)",-0.9991,,-0.9991
"Corr(shock,sigka)",0.2669,,0.2669
"Corr(mure,r)",0.9998,,0.9998
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,16.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
