,All,Crisis,Good
E[theta],1.347,,1.347
E[thetah],0.796,,0.796
E[iota],0.042,,0.042
E[r],-0.016,,-0.016
E[rp],0.079,,0.079
E[rph],0.062,,0.062
E[Q],1.424,,1.424
E[sigka],0.059,,0.059
E[mrp],1.332,,1.332
E[mrph],1.044,,1.044
E[pd],21.083,,21.083
E[mure],0.063,,0.063
E[outputG],0.014,,0.014
E[retQ],0.0,,0.0
Std[theta],0.0521,,0.0521
Std[thetah],0.0177,,0.0177
Std[iota],0.0003,,0.0003
Std[r],0.0017,,0.0017
Std[rp],0.0014,,0.0014
Std[rph],0.0006,,0.0006
Std[Q],0.0027,,0.0027
Std[sigka],0.0001,,0.0001
Std[mrp],0.0256,,0.0256
Std[mrph],0.008,,0.008
Std[pd],0.1254,,0.1254
Std[mure],0.0004,,0.0004
Std[outputG],0.0492,,0.0492
Std[retQ],0.0008,,0.0008
"Corr(theta,shock)",-0.2768,,-0.2768
"Corr(theta,Q)",0.9985,,0.9985
"Corr(theta,mrp)",0.9997,,0.9997
"Corr(shock,mrp)",-0.2779,,-0.2779
"Corr(Q,r)",-0.9997,,-0.9997
"Corr(retQ,r)",-0.2124,,-0.2124
"Corr(rp,sigka)",-0.9994,,-0.9994
"Corr(shock,sigka)",0.2793,,0.2793
"Corr(mure,r)",0.9998,,0.9998
No of crisis periods,4000.0,,
freq,12.0,,
prob (dt freq),0.0,,
gamma,19.0,,
sigma,0.06,,
a,0.11,,
ah,0.03,,
depr,0.02,,
kappa,10.0,,
alpha,0.5,,
